id,CODIGO_SEC,SECTO1_1993,SECTO2_1993,SECTO3_1993,SECTO4_1993,SECTO5_1993,SECTO6_1993,SECTO1_2005,SECTO2_2005,SECTO3_2005,SECTO4_2005,SECTO5_2005,SECTO6_2005
310,1100115110,9,6,31,172,206,171,1,14,110,397,381,205
311,1100115111,3,9,42,386,612,474,14,0,64,516,725,254
312,1100115112,1,1,1,0,0,0,0,0,0,0,0,1
313,1100115113,11,12,70,728,1215,922,0,36,103,532,510,479
314,1100115114,0,0,0,0,0,0,0,0,2,3,0,0
315,1100115115,4,1,1,1,0,0,0,0,20,160,277,197
316,1100115201,180,318,645,716,330,211,307,326,466,583,298,167
317,1100115202,273,343,575,483,215,113,144,286,666,627,161,85
318,1100115203,171,366,647,604,195,121,308,333,804,609,117,139
319,1100115204,206,370,772,808,360,171,254,354,1018,752,455,132
320,1100115205,280,470,712,901,730,366,330,469,821,1055,885,350
321,1100115206,140,314,516,451,150,61,58,196,622,377,142,25
322,1100115301,14,12,45,411,796,837,75,0,0,867,1840,813
323,1100115302,4,2,12,73,167,181,0,0,95,522,410,493
324,1100115303,3,10,24,222,423,425,67,1,127,1,587,355
325,1100115304,7,20,62,418,699,608,27,40,132,768,763,514
326,1100115305,21,51,132,300,240,143,18,82,114,420,253,166
327,1100115306,3,5,18,191,308,199,0,0,45,307,356,142
328,1100115307,50,90,207,725,1151,910,40,111,222,964,1459,818
329,1100115308,188,455,764,758,311,167,336,509,924,790,325,165
330,1100115401,6,11,27,392,756,738,0,0,1,1042,624,688
331,1100115402,103,159,237,391,383,270,114,1,0,789,426,389
332,1100115403,86,166,297,592,903,668,56,0,314,983,1555,775
333,1100115404,496,950,1295,1094,540,325,135,490,939,891,677,218
334,1100115405,482,907,1168,788,252,112,461,832,1388,599,383,98
335,1100115406,97,189,653,1368,879,444,48,328,1380,821,496,279
336,1100115501,62,146,308,460,247,107,45,0,93,277,224,60
337,1100115502,244,812,2080,2625,1012,538,380,1254,2015,1457,809,416
338,1100115503,204,442,1077,1329,705,368,826,322,962,2064,1011,429
339,1100115506,11,15,17,13,2,0,0,46,3,194,0,1
340,1100115507,16,28,99,573,578,425,0,0,213,717,1364,486
341,1100115508,102,171,382,542,298,161,95,0,363,704,587,61
342,1100115509,106,213,508,745,360,169,0,120,823,546,114,50
343,1100115510,92,186,449,548,225,97,0,83,191,260,185,45
344,1100115601,125,167,312,806,751,406,311,402,788,1218,802,398
345,1100115602,25,69,227,582,448,242,2,72,266,1362,417,379
346,1100115603,422,909,1460,1039,290,123,342,990,1614,1102,107,282
347,1100115604,190,415,645,568,217,98,211,675,851,548,222,1
348,1100115605,51,146,385,577,288,155,85,190,989,945,251,437
349,1100115606,38,56,194,890,989,537,0,45,345,988,1705,438
350,1100115607,112,230,668,1111,541,232,67,538,681,1743,545,348
351,1100115608,227,560,1145,995,290,118,165,322,1082,766,164,108
352,1100115609,124,310,912,1059,365,164,156,523,973,1119,273,105
353,1100115610,365,681,1010,646,177,74,112,807,1388,1230,389,216
354,1100115611,23,39,259,688,507,254,76,85,633,682,489,347
355,1100115612,117,299,671,1056,727,336,60,389,1010,1383,427,313
356,1100115613,4,9,82,354,287,151,1,139,345,526,120,109
357,1100115614,99,195,625,1483,1018,577,144,172,676,1818,840,424
358,1100115615,152,310,534,553,240,102,90,381,1035,856,374,126
359,1100115616,333,636,1112,1066,426,207,379,1074,810,1349,635,332
360,1100115617,193,482,897,1058,398,181,60,562,772,1395,243,177
361,1100115618,44,152,556,874,483,225,56,167,442,1058,403,141
362,1100115619,218,506,1055,1432,674,337,203,820,982,1214,209,240
363,1100115620,156,315,749,875,278,107,268,476,543,972,544,127
364,1100115621,581,1132,1759,1240,396,167,608,2382,2910,1731,324,320
365,1100115622,208,429,1547,3471,2549,1506,101,822,2691,3609,2331,1037
366,1100115623,111,254,785,908,274,116,145,489,983,1400,431,65
367,1100115624,12,13,22,16,6,4,4,5,89,88,33,25
368,1100115625,51,75,288,1011,847,422,79,215,451,1421,681,522
369,1100115626,37,74,286,592,449,267,0,61,406,1161,646,242
370,1100115627,165,413,987,1129,376,107,118,183,1355,870,437,106
371,1100115628,88,274,695,922,412,158,309,336,859,682,188,215
372,1100115629,277,572,1041,1250,749,408,1222,1952,4573,4909,1803,815
373,1100115630,409,897,1483,1049,250,91,476,1816,4678,2481,1289,245
374,1100115631,232,372,546,320,72,54,411,1547,2527,2293,540,58
375,1100115632,214,350,500,347,80,36,537,1420,2958,2095,605,68
376,1100115633,60,130,796,2430,1793,797,72,259,2154,3594,2020,694
377,1100115634,19,61,252,952,855,466,167,1,564,1758,1305,780
378,1100115635,53,115,413,1192,966,526,1,155,1013,1951,1369,509
379,1100115636,46,53,498,2606,2590,1375,7,96,1049,6443,5929,1905
380,1100115637,331,660,1724,2475,964,422,359,1097,1947,3479,596,452
381,1100115638,0,0,0,0,0,0,0,0,0,1,0,0
382,1100115639,0,0,0,0,0,0,0,0,0,1,0,0
383,1100116101,17,33,74,147,128,97,11,87,96,132,105,34
384,1100116102,6,12,20,36,14,13,8,11,34,37,23,12
385,1100116103,152,272,637,891,511,342,625,734,1193,1090,333,206
386,1100116104,129,209,343,415,274,245,314,274,467,473,239,92
387,1100116105,52,70,115,122,57,47,246,162,241,145,45,44
388,1100116106,43,84,101,87,33,13,100,112,180,191,107,57
389,1100116107,6,6,24,19,15,4,9,8,20,24,0,7
390,1100116108,69,117,232,643,708,450,90,152,268,945,746,418
391,1100116201,18,16,103,452,613,539,0,68,210,638,877,486
392,1100116202,10,11,36,214,295,328,0,46,167,564,441,357
393,1100116203,13,10,5,2,2,0,0,0,0,0,0,15
394,1100116204,4,4,6,7,3,2,14,0,0,49,1,14
395,1100116205,24,27,12,9,1,1,0,21,25,9,15,0
396,1100116206,2,2,0,1,1,1,0,25,0,0,0,0
397,1100116207,2,3,9,5,15,12,0,0,21,0,0,13
398,1100116208,51,39,89,334,542,418,0,93,265,798,865,640
399,1100116209,10,9,23,170,277,241,15,25,47,323,270,165
400,1100116210,8,4,56,233,260,278,31,0,112,387,555,306
401,1100116211,64,112,205,155,52,24,25,103,75,99,18,0
402,1100116301,76,110,240,508,543,373,26,95,357,1467,859,363
403,1100116302,2,5,24,206,325,195,0,0,174,293,276,273
404,1100116303,11,6,60,527,779,660,80,127,1066,5237,4799,2975
405,1100116304,146,296,413,290,91,69,152,205,474,175,51,32
406,1100116305,4,3,7,7,3,2,0,21,42,15,0,0
407,1100116306,4,4,9,3,1,3,0,0,0,27,0,0
408,1100116307,8,3,4,2,0,0,0,22,37,0,1,0
409,1100116308,10,3,7,5,0,1,0,0,57,701,958,482
410,1100116311,13,14,51,226,287,183,27,1,56,643,400,356
411,1100116312,27,19,169,1097,1623,1046,29,35,423,2527,2031,1029
412,1100116318,7,2,1,1,0,0,16,15,269,1513,2276,1405
413,1100116401,767,1514,1969,1097,252,101,567,1463,2149,1557,369,116
414,1100116402,469,947,1706,1908,881,404,366,972,2484,2359,666,403
415,1100116403,89,199,424,365,113,55,0,58,367,381,140,62
416,1100116404,96,186,235,181,47,31,3,109,446,812,928,463
417,1100116405,97,193,366,446,275,133,23,120,498,1194,572,269
418,1100116406,89,194,479,724,421,223,34,134,586,1958,1694,1084
419,1100116407,84,171,396,413,171,89,120,104,554,448,414,183
420,1100116408,209,481,861,722,260,106,366,808,1185,1125,339,217
421,1100116409,465,930,1553,1188,326,155,504,509,1354,1088,673,439
422,1100116410,135,325,746,901,398,188,106,375,835,730,274,149
423,1100116411,1,3,1,0,0,0,27,212,1484,1305,527,65
424,1100116412,74,155,307,283,96,23,170,325,1000,971,464,193
425,1100116413,290,669,954,726,234,96,370,926,1676,1051,533,143
426,1100116414,211,420,650,383,82,28,167,702,1632,956,153,60
427,1100116415,85,132,174,102,33,11,66,286,698,1257,521,383
428,1100116416,68,98,102,41,8,4,116,351,336,68,67,46
429,1100116417,27,69,209,263,94,44,40,79,318,536,268,54
430,1100116418,2,0,0,2,0,0,2,0,0,2,0,0
431,1100116419,7,2,3,0,0,0,0,0,22,0,0,0
432,1100116502,32,65,363,1224,1001,484,62,206,641,1937,1267,526
433,1100116503,92,131,281,273,109,52,0,287,329,409,62,27
434,1100116505,122,209,431,638,402,185,202,0,592,1393,606,589
435,1100116506,17,25,200,933,994,591,0,223,648,2433,812,626
436,1100116507,241,432,675,683,415,232,365,1456,2035,1351,580,594
437,1100116508,8,32,126,189,61,38,4,187,309,76,95,8
438,1100116509,4,4,3,3,0,0,50,0,0,0,0,79
439,1100117101,30,51,148,588,749,794,18,35,132,942,654,809
440,1100117102,30,20,90,195,288,287,1,25,69,312,234,266
441,1100117103,13,18,28,79,102,112,29,12,52,97,58,108
442,1100117104,15,35,63,208,258,284,14,1,119,371,119,197
443,1100117105,14,12,51,172,201,180,1,34,79,203,283,146
444,1100117106,11,13,47,81,112,115,0,0,68,83,56,193
445,1100117107,7,7,37,175,227,249,0,0,64,160,318,91
446,1100117201,3,5,24,106,132,141,13,30,14,158,224,56
447,1100117202,17,24,90,427,606,521,1,1,121,586,593,641
448,1100117203,18,36,113,339,355,310,18,51,179,445,395,484
449,1100117204,27,44,126,333,332,355,16,108,236,765,530,438
450,1100117205,16,19,109,386,490,527,1,85,258,755,1040,1024
451,1100117206,19,22,57,316,470,423,13,71,200,851,750,765
452,1100117207,30,13,44,252,293,271,32,0,70,285,490,288
453,1100117208,3,13,31,162,236,238,49,59,210,497,612,378
454,1100117209,73,85,197,470,513,410,33,83,404,913,880,925
455,1100117301,40,72,180,254,120,67,15,54,129,158,136,22
456,1100117302,6,23,77,257,246,156,13,12,48,315,212,93
457,1100117303,48,79,203,419,331,240,14,93,152,358,160,112
458,1100117304,12,19,45,93,107,106,0,0,80,73,92,87
459,1100117305,11,24,108,212,219,189,10,15,110,288,154,104
460,1100117306,5,10,55,158,178,143,0,0,75,214,118,129
461,1100117307,9,19,52,164,146,109,0,60,70,283,79,137
462,1100117308,9,22,63,195,173,131,47,38,140,276,294,62
463,1100117309,53,125,257,238,97,60,58,41,89,93,23,35
464,1100117310,111,185,398,443,191,121,106,220,283,237,68,37
465,1100117311,48,79,194,284,154,109,0,45,84,319,141,29
466,1100117312,13,29,80,163,125,95,130,59,75,216,180,120
467,1100117401,17,14,68,450,747,859,32,13,149,539,953,733
468,1100117402,47,98,235,293,176,100,18,110,113,286,195,59
469,1100117403,20,19,57,214,264,259,14,19,90,91,62,57
470,1100117404,0,3,17,113,107,78,0,0,1,0,36,0
471,1100117405,44,63,204,252,191,100,23,59,202,164,56,46
472,1100117406,69,164,328,343,173,83,24,61,133,254,51,28
473,1100117407,21,35,102,240,208,131,0,11,0,129,57,22
474,1100118101,3,7,29,109,150,228,3,14,88,231,270,327
475,1100118102,0,0,0,1,0,0,1,0,3,0,0,0
476,1100118103,9,9,7,22,19,37,21,0,18,26,34,57
477,1100118104,175,268,480,389,132,76,165,280,454,280,82,66
478,1100118105,68,67,108,186,223,297,26,50,162,311,394,499
479,1100118106,80,72,73,67,58,93,66,66,61,58,64,94
480,1100118107,14,11,30,65,96,158,27,11,57,92,174,314
481,1100118108,1,4,11,30,31,43,2,30,54,151,194,257
482,1100118109,22,31,48,48,18,17,37,54,73,95,49,40
483,1100118201,18,15,50,164,278,393,21,5,75,122,268,357
484,1100118202,7,4,11,47,149,272,1,0,44,68,118,294
485,1100118203,35,44,37,69,111,224,8,9,21,92,225,223
486,1100118204,28,29,48,250,433,609,14,18,119,290,697,990
487,1100118205,125,160,207,283,306,449,208,423,384,388,439,532
488,1100118206,12,13,36,92,224,312,0,0,19,187,489,705
489,1100118207,10,14,47,218,377,481,0,0,140,487,630,695
490,1100118208,63,75,123,268,365,441,63,88,336,779,954,1074
491,1100118209,98,105,164,82,25,17,93,184,247,63,50,22
492,1100118210,6,6,21,86,147,196,8,11,14,163,163,252
493,1100118211,30,26,102,291,348,299,10,38,157,627,574,613
494,1100118212,20,36,106,365,493,509,50,109,239,860,773,858
495,1100118213,38,42,144,426,541,664,37,59,191,696,787,755
496,1100118214,31,26,68,289,452,554,5,13,70,388,387,533
497,1100118215,78,80,91,59,14,5,101,242,216,81,15,0
498,1100118216,2,2,5,26,37,85,21,0,0,9,30,74
499,1100118301,10,5,29,226,520,695,0,0,39,283,524,667
500,1100118302,2,2,1,22,35,54,0,2,1,61,85,47
501,1100118303,1,4,14,101,264,390,0,10,0,127,437,408
502,1100118304,13,14,40,191,460,668,0,11,12,396,857,805
503,1100118305,7,10,37,196,500,726,0,23,16,222,505,559
504,1100118306,8,13,36,159,251,414,0,1,0,187,303,299
505,1100118307,19,22,44,205,396,585,0,0,45,302,750,972
506,1100118308,18,24,41,196,445,688,11,10,12,336,802,952
507,1100118309,19,7,23,153,366,619,0,0,0,410,606,533
508,1100118310,5,7,7,52,136,208,0,0,12,66,158,269
509,1100118311,5,8,32,205,458,774,11,2,23,212,476,592
510,1100118312,6,12,15,68,172,242,0,13,21,43,90,207
511,1100118313,9,12,26,87,128,163,1,0,56,220,240,274
512,1100118314,14,29,42,158,308,484,19,10,32,160,502,530
513,1100118315,10,8,28,203,435,536,0,23,52,358,806,840
514,1100118316,200,224,244,104,18,21,294,484,491,248,111,39
515,1100118317,49,70,95,57,27,21,47,159,200,92,67,10
516,1100118318,97,127,130,86,35,22,117,237,155,105,29,52
517,1100118401,7,7,24,389,762,638,1,36,41,392,991,933
518,1100118402,25,25,74,490,1151,1175,0,0,40,522,1661,1677
519,1100118404,8,19,45,237,538,591,0,0,77,564,497,455
520,1100118405,2,0,18,113,201,193,0,0,42,37,113,154
521,1100118406,169,201,255,211,179,136,82,275,317,227,247,569
522,1100118407,28,46,106,183,212,279,136,173,37,521,668,408
523,1100118408,6,8,16,119,291,356,1,38,1,343,497,704
524,1100118409,0,2,16,120,171,65,0,2,0,107,339,26
525,1100118410,3,2,34,31,16,9,0,0,35,113,181,27
526,1100118411,23,7,15,118,289,401,0,3,50,389,879,817
527,1100118412,15,7,26,146,314,337,1,0,82,502,719,875
528,1100118413,9,10,18,124,221,236,2,0,65,5,116,110
529,1100118414,6,18,31,146,320,335,2,111,84,399,671,392
530,1100118415,44,30,117,984,1902,2396,2,45,120,706,1958,1716
531,1100118416,21,18,50,391,786,998,1,2,0,752,1326,1477
532,1100118417,21,15,39,209,447,537,2,1,76,563,1006,612
533,1100118418,11,17,37,225,546,735,2,2,43,260,882,883
534,1100118501,149,196,293,689,614,368,158,310,540,841,768,474
535,1100118502,259,449,675,439,243,141,442,669,744,1263,822,650
536,1100118503,54,52,102,298,227,153,1,0,219,401,393,146
537,1100118504,264,279,191,88,14,7,283,137,567,286,271,35
538,1100118505,355,623,980,889,368,172,141,791,1195,1259,818,168
539,1100118506,160,361,731,1024,591,275,88,613,1237,1687,605,200
540,1100118507,136,260,495,873,580,325,121,358,715,1494,872,255
541,1100118508,16,11,78,598,1069,879,32,0,205,1294,1949,1535
542,1100118509,7,3,14,130,255,248,0,0,0,78,81,130
543,1100118510,36,45,105,719,1235,1172,1,40,36,1448,1434,1932
544,1100118511,9,7,25,338,613,564,1,1,0,136,405,284
545,1100118512,32,25,82,610,1222,1155,0,0,220,526,1354,847
546,1100118513,28,10,30,309,662,626,0,2,84,885,1663,851
547,1100118514,8,7,25,205,389,351,0,0,84,279,560,338
548,1100118515,47,48,136,771,1447,1357,1,2,68,1382,1732,1762
549,1100118516,153,265,512,693,477,293,1,537,831,1126,422,517
550,1100118517,3,11,13,169,363,232,39,3,32,997,570,740
551,1100118518,10,14,78,532,849,624,47,0,163,897,1386,1407
552,1100118519,29,36,108,543,873,638,2,49,149,841,1052,612
553,1100118520,17,19,27,35,116,114,47,45,22,141,603,461
554,1100118521,212,338,452,346,131,65,233,849,1295,693,283,43
555,1100118522,37,72,98,71,17,4,57,99,181,174,62,0
556,1100118523,138,185,226,108,45,48,221,423,690,791,596,384
557,1100118524,0,3,3,0,0,1,0,3,3,0,0,1
558,1100118525,30,47,113,157,116,64,0,41,174,118,152,75
559,1100118526,617,972,1219,979,560,298,853,1779,2663,2223,700,737
560,1100118527,4,6,9,140,293,169,4,1,36,347,432,241
561,1100118528,78,90,78,55,37,27,40,424,388,720,562,239
562,1100118529,1,0,4,2,0,2,0,50,463,698,422,96
563,1100118530,9,6,24,374,617,475,0,0,50,793,665,427
564,1100118532,791,803,578,228,41,16,777,1761,1867,704,196,173
565,1100118533,78,84,89,59,25,11,0,0,165,113,1,0
566,1100118534,403,285,197,78,18,7,681,907,632,256,244,67
567,1100118535,910,865,540,197,31,6,551,660,839,393,43,121
568,1100118536,34,62,56,38,5,6,133,222,229,221,0,0
569,1100118537,0,0,0,0,0,0,0,0,67,65,126,106
570,1100119101,123,168,289,522,342,237,60,109,340,684,746,484
571,1100119102,185,281,421,588,561,359,199,240,635,1678,1447,1031
572,1100119103,0,2,0,0,0,0,0,1,1,75,71,1
573,1100119104,14,11,58,441,681,553,0,77,0,1902,1431,669
574,1100119105,171,230,527,1108,1136,721,141,2,528,1513,1367,870
575,1100119106,113,192,413,911,1024,716,106,2,707,1609,1732,737
576,1100119107,308,609,1033,1379,1015,722,452,816,1482,1346,700,842
577,1100119108,338,678,1202,1595,1340,1051,110,484,1732,2083,1705,738
578,1100119109,5,13,25,203,439,477,0,0,1,279,186,395
579,1100119110,0,2,21,260,343,242,0,81,108,265,487,544
580,1100119111,29,25,108,968,2031,1914,1,53,185,2199,2927,2123
581,1100119112,11,10,26,126,315,336,0,0,1,560,974,555
582,1100119113,37,48,43,105,245,265,2,1,89,182,229,347
583,1100119114,65,89,179,492,512,426,191,57,376,1946,2425,1456
584,1100119115,61,115,150,329,500,404,0,325,629,1668,3085,1749
585,1100119116,44,58,152,397,477,282,154,201,649,701,942,404
586,1100119117,199,323,527,965,1442,1143,230,645,1030,1364,1556,553
587,1100119118,12,16,48,335,727,703,0,1,99,863,1129,815
588,1100119119,33,54,103,410,691,435,81,119,319,1111,1604,1213
589,1100119120,214,407,751,1364,1119,622,318,415,1003,1836,1925,625
590,1100119121,16,15,17,54,152,156,69,6,176,788,444,454
591,1100119122,1,2,29,135,226,215,0,0,0,75,228,184
592,1100119123,4,1,12,103,286,248,0,0,0,339,194,294
593,1100119124,0,0,0,0,0,0,0,1,0,0,2,0
594,1100119201,294,449,613,526,256,178,247,624,791,1749,808,467
595,1100119202,42,90,177,307,278,161,0,260,425,1278,870,297
596,1100119203,467,661,699,560,224,105,413,1399,955,853,459,50
597,1100119204,462,657,637,317,74,40,418,978,2193,871,235,230
598,1100119205,1179,1932,2014,1018,215,110,1747,2806,2746,1854,778,267
599,1100119206,627,900,865,446,92,47,764,693,1505,919,538,114
600,1100119207,1029,1683,2099,1340,321,144,1238,2101,4516,2096,1218,211
601,1100119208,166,399,1016,1606,794,408,371,904,2565,3192,1826,377
602,1100119209,417,671,898,764,347,219,333,1314,1591,864,426,239
603,1100119210,283,495,1018,1743,1443,879,477,1089,1920,4500,2413,1126
604,1100119211,351,491,556,361,249,131,1072,1255,1401,1846,744,587
605,1100119212,97,93,94,57,16,14,163,119,595,519,324,160
606,1100119213,10,27,28,25,31,33,0,0,1,166,745,271
607,1100119214,246,422,966,1410,762,421,340,826,2956,2957,1401,554
608,1100119215,1213,1958,2590,1959,583,241,2485,5963,7220,4829,1573,763
609,1100119216,323,644,1179,1072,385,182,598,618,2423,1702,949,687
610,1100119217,98,214,991,2209,1548,854,458,1218,3752,9734,3896,1991
611,1100119218,240,209,196,141,74,56,1151,1406,2105,2339,777,411
612,1100119219,192,211,173,82,10,5,69,561,613,192,144,55
613,1100119220,636,1096,1621,1281,410,194,527,1911,3399,1951,331,426
614,2575410002,271,597,1069,938,305,119,527,1294,1778,1507,592,104
615,2575410003,680,1088,1596,1069,328,101,977,1584,2828,2472,628,50
616,2575410004,803,938,1138,823,227,100,1231,2029,1886,1179,89,97
617,2575410006,158,451,2148,2687,647,170,771,1026,2677,3400,687,179
618,2575410007,391,603,654,299,52,27,580,1232,1785,872,29,2
619,2575410008,153,164,468,574,177,76,224,302,461,464,208,50
620,2575410009,487,859,2250,3613,1526,702,728,1769,4543,4534,1237,446
621,2575410010,613,723,929,687,238,135,2085,2050,3470,2481,520,307
622,2575410011,1461,1881,2163,1118,224,116,2663,3788,4645,2244,498,78
623,2575410014,1023,538,267,92,21,10,1386,1190,824,482,169,21
624,2575410025,0,0,0,0,0,0,4,4,4,0,2,0
625,1100116504,41,58,514,2059,1898,936,16,60,1997,3836,2097,411
626,2575410001,916,1408,1884,1425,478,193,1752,3045,4651,3604,1067,166
627,2575410012,644,597,566,183,38,8,2417,2371,2039,1016,44,23
